//ID,リーダスキル名,スキルクラス名,スキル説明,発動タイミングID,引数データ1
1,チュートリアル１用,SpecialLeaderSkill1,パーティメンバーの復帰までのカウント+5、スキルカウントが上昇しない,2,5
2,チュートリアル２用,SpecialLeaderSkill2,パーティメンバーの行動毎に、行動者（味方）のスキルカウント+3,0,3
3,チュートリアル３用,SpecialLeaderSkill3,コンサートモード中、判定成功時のスコア+300,2,300
4,黄金器（弦）の奏者,PlayerUnitLeaderSkill,パーティが全滅した際、一度だけ味方全体を復帰させる,6,500
5,古の調べ,SpecialLeaderSkill2,パーティメンバーの通常攻撃時、行動者（味方）のスキルカウント+1,0,1
6,森の遠吠え,DamageUpLeaderSkill,パーティメンバーが弱点タイプの敵に攻撃時、与ダメージを上昇させる,12,100
7,四聖獣（朱）,CountHealLeaderSkill,パーティメンバーの行動毎に、行動者（味方）のHPを回復する,2,200
8,四聖獣（碧）,StandLeaderSkill,パーティメンバーは戦闘不能になる攻撃を受けた際、一度だけHPを１にして耐える,1,1
9,四聖獣（白）,StanderdDamageAllLeaderSkill,パーティメンバーのスキル発動時、敵全体に追撃を行う,4,300
10,四聖獣（蒼）,SpecialLeaderSkill3,味方がダメージを受けた際、確率でランダムな敵にダメージを与える,4,300
11,英雄の遺産（形）,SpecialLeaderSkill3,コンボ継続中のスコア上昇率がアップ,10,30
12,英雄の遺産（剣）,SpecialLeaderSkill3,敵の撃破時、パーティに防御力上昇効果,9,1300
13,英雄の遺産（双）,StandardDamageRandomLeaderSkill,コンボ数が偶数の判定の時、成功判定時にランダムな敵にダメージを与える,10,3
14,英雄の遺産（刀）,SpecialLeaderSkill3,パーティメンバーの通常攻撃時、敵の防御力を無視してダメージを与える,0,300
15,英雄の遺産（鞭）,SpecialLeaderSkill3,演奏終了時、敵せん滅率が一定値を上回っていればスコアを上昇させる,11,6000
16,英雄の遺産（闇）,KalenLeaderSkill,成功判定時、ノーツタイプが「ATK」であれば敵全体に追撃を行う,10,800
17,英雄の遺産（聖）,SerenLeaderSkill,成功判定時、ノーツタイプが「ENH」であれば味方全体を回復する,10,800
18,英雄の遺産（斧）,SpecialLeaderSkill3,コンボ数が奇数の判定の時、成功判定時にパーティに攻撃力上昇効果付与,10,100
19,英雄の遺産（拳）,SpecialLeaderSkill3,パーティメンバーがダメージを受けるとき、確率でダメージ量を０にする,1,1
20,英雄の遺産（銃）,SpecialLeaderSkill3,失敗判定時、確率で判定結果を「GREAT」に変換する,10,10
21,白の守護精,SpecialLeaderSkill3,コンサートモード中、行動後にコンボ数がイヴァンのレベルを超えていた場合、味方全体のHPを回復する。回復量分だけスコアを上昇,14,300
22,彷徨いの騎士,StanderdDamageAllLeaderSkill,行動時、コンボ数がパーティ平均レベルを超えていた場合、敵全体にダメージを与える,14,1300
23,マナの源流,SpecialLeaderSkill3,スキル発動時、コンボ数がランドロールのレベルを超えていればもう一度スキルを発動する,4,300
24,水神の巫女,SpecialLeaderSkill3,コンサートモード中、コンボ数が戦闘中の最大値であれば、スコア上昇率をアップする,15,300
